id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
ID5*3wrtczOvY1eEc2E8lZuhxUPqaMHPN3ELkByWOEJm2GfW_U7Rfvm3htl2HzW9uAJc,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*ewaX-ZejGd0gfxu2MZfbT-fmEktrOwuBNBDssuZqou3XUoiFoLSQLfHWHgjjKtfU,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*In_w487afsd5BnysaO68Vb6fdVEyQmybbWmLqL8TxffXUuZMQ8DvWPO52PqYtpBh,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*QXgYBK3dliAaAZRLC-lUst2YnbZRRYR8Dm5jT9wULRDXUj5yvaE-87E3mH0RInPl,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*mpngHHY8bjjB4GxT0AisqgZ5Za6KpHxk1Y-bVwf11QjXUtrrbqiTKFAInI-iengD,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*P7PPadMWQU1kykMmdSKD36NTStsvjlMRcKW0IqLf-n3XUpwsl75_0PFd8xHfyHPw,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*g0Pa3W_mVPnYOlaSydKWax-jX2-TfkalzFWhlh4v78nXUhoDomWVkzTIQ7GRVivU,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*lYKqKKrAqtIWZWttlGf8S2HnHnVeXWlhkn6qJc-5x9XXUjnHGmUujwVlpw6NCFXt,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
ID5*oTC-1Z5yvi8i13-QoNXotlVVCohq732cpsy-2PsL0yjXUpHLRm2sfT9TIEIBM2Tx,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
ID5*x1Gt8fgTrQtEtmy0xrT7kjM0GawMjm64wK2t_J1qwAzXUhllDRPbEK6Uix_I9tJ5,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
ID5*WGV5QmcnebjbgrgHWYAvIawAzR-TuroLX5l5TwJeFL_XUsBRb5pCS-e_sFUFTnsh,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
ID5*rGbDjpMkw3QvgQLLrYOV7VgDd9NnuQDHq5rDg_ZdrnPXUu10lqFqJC6bW7BgvmQP,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
ID5*n-L-naCg_mccBT_Yngeo_muHSsBUPT3UmB7-kMXZk2DXUoGnrPFP21JSENGJGUD-,web,-5333645777020806121,-,User: ID5,santiaguito,-,1.0,0.0,1.0
